data,preco_tecnico,preco_hibrido_base,preco_hibrido_bear,preco_hibrido_bull,ancora_dcf_base,ancora_dcf_bear,ancora_dcf_bull,intervalo_lo,intervalo_hi,previsao_media,previsao_std
2026-06-04,71.48054656982421,72.40981549352205,69.29351749252619,76.28125355439329,76.18567452262583,72.90687504494149,80.25899135170171,70.02003914829028,74.79959183875381,72.40981549352205,1.219273645526408
2026-06-05,71.43789978027344,72.40318597775496,69.22858312173031,76.35070732579186,76.23329438589298,72.89075592141188,80.38963851572109,69.98380662088739,74.82256533462252,72.40318597775496,1.2343772228916163
2026-06-08,71.39439544677734,72.39655425393593,69.16370691106911,76.42022136309299,76.28094401396027,72.87464036169081,80.52049834976258,69.94908397687134,74.84402453100053,72.39655425393593,1.2487093250329597
2026-06-09,71.35096740722656,72.39067195116161,69.09960626850587,76.49058991335991,76.32862342543223,72.85852836499036,80.65157120001464,69.91591278571006,74.86543111661315,72.39067195116161,1.2626322272711983
2026-06-10,71.30804443359375,72.38587731856852,69.03660192229788,76.56217317741759,76.37633263892498,72.84241993052274,80.78285741322925,69.88421461841962,74.88754001871742,72.38587731856852,1.2763585204841306
2026-06-11,71.26556701660157,72.38211820432925,68.97464149028666,76.6349194561178,76.42407167306625,72.8263150575004,80.91435733672282,69.85399013382879,74.9102462748297,72.38211820432925,1.289861260459418
2026-06-12,71.22334594726563,72.37924178851662,68.91357691500312,76.70867014630802,76.47184054649544,72.8102137451359,81.04607131837714,69.82525178462394,74.9332317924093,72.37924178851662,1.3030561244350396
2026-06-15,71.18126373291015,72.37715382574369,68.8533163581267,76.78332814270581,76.51963927786363,72.79411599264203,81.17799970664032,69.79795605521018,74.9563515962772,72.37715382574369,1.3159172298640387
2026-06-16,71.13936004638671,72.37588436638885,68.79388643241643,76.85892793972317,76.56746788583351,72.77802179923175,81.31014285052763,69.7722636511837,74.97950508159398,72.37588436638885,1.3283779159209865
2026-06-17,71.09776306152344,72.37553177708722,68.73537853754408,76.9355767853437,76.61532638907943,72.76193116411814,81.4425010996225,69.74848780664398,75.00257574753046,72.37553177708722,1.340328556348592
2026-06-18,71.05653381347656,72.37613996900765,68.67783208769599,77.0133244075483,76.66321480628746,72.7458440865145,81.5750748040774,69.7265801029207,75.0256998350946,72.37613996900765,1.3518162582076283
2026-06-19,71.01570434570313,72.37772946836697,68.62126418864139,77.09219581938483,76.71113315615533,72.7297605656343,81.70786431461487,69.70638943232505,75.04906950440888,72.37772946836697,1.3629285898173005
2026-06-22,70.97531280517578,72.38032497044695,68.56569583361582,77.17222057285309,76.75908145739245,72.71368060069116,81.8408699825282,69.6877694589659,75.072880481928,72.38032497044695,1.3737528119801268
2026-06-23,70.9354232788086,72.38397030141883,68.5111660480696,77.25344874975767,76.8070597287199,72.69760419089893,81.97409215968267,69.67059084441911,75.09734975841855,72.38397030141883,1.3843772739794515
